file,vibration,vib_rms,vib_peak,vib_kurtosis
2003.10.31.19.21.44,0.1412400280,0.1412400280,0.6930000000,5.2227104054
2003.10.31.19.31.44,0.1406467797,0.1406467797,0.5860000000,4.8065529904
2003.10.31.19.41.44,0.1427420195,0.1427420195,0.6010000000,5.0393689866
2003.10.31.19.51.44,0.1412782038,0.1412782038,0.6080000000,4.7649824243
2003.10.31.20.01.44,0.1401830195,0.1401830195,0.5490000000,5.0469345090
2003.10.31.20.11.44,0.1411801227,0.1411801227,0.5830000000,4.8993281352
2003.10.31.20.21.44,0.1414781271,0.1414781271,0.6320000000,5.1906250837
2003.10.31.20.31.44,0.1413631695,0.1413631695,0.6350000000,4.9778733093
2003.10.31.20.41.44,0.1410964500,0.1410964500,0.6010000000,5.1127297657
2003.10.31.20.51.44,0.1420716430,0.1420716430,0.6350000000,5.3960700392
2003.10.31.21.01.44,0.1420272765,0.1420272765,0.6080000000,5.3312887175
2003.10.31.21.11.44,0.1418262289,0.1418262289,0.5860000000,5.4295573108
2003.10.31.21.21.44,0.1410672560,0.1410672560,0.5910000000,4.9332079691
2003.10.31.21.31.44,0.1411722498,0.1411722498,0.5760000000,5.0073090687
2003.10.31.21.41.44,0.1423088636,0.1423088636,0.5640000000,4.7513851523
2003.10.31.21.51.44,0.1413987110,0.1413987110,0.6200000000,4.8079028568
2003.10.31.22.01.44,0.1411564117,0.1411564117,0.6300000000,5.0504436486
2003.10.31.22.11.44,0.1430720307,0.1430720307,0.5690000000,5.6097737388
2003.10.31.22.21.44,0.1412364759,0.1412364759,0.7100000000,5.3435049121
2003.10.31.22.31.44,0.1405292537,0.1405292537,0.8300000000,5.4631614410
2003.10.31.22.41.44,0.1410379195,0.1410379195,0.5910000000,4.9979820851
2003.10.31.22.51.44,0.1409989265,0.1409989265,0.6100000000,5.4493362436
2003.10.31.23.01.44,0.1416561223,0.1416561223,0.5590000000,4.8349554520
2003.10.31.23.11.44,0.1434006274,0.1434006274,0.6130000000,5.2371549488
2003.10.31.23.21.44,0.1412465177,0.1412465177,0.5640000000,5.3451148482
2003.10.31.23.31.44,0.1418647804,0.1418647804,0.5790000000,4.9080405175
2003.10.31.23.41.44,0.1415156642,0.1415156642,0.7740000000,5.0594746791
2003.10.31.23.51.44,0.1410215078,0.1410215078,0.6860000000,4.8073173064
2003.11.01.00.01.44,0.1419476478,0.1419476478,0.6420000000,4.9491724009
2003.11.01.00.11.44,0.1418367248,0.1418367248,0.5740000000,5.2358005601
2003.11.01.00.21.44,0.1408410205,0.1408410205,0.5470000000,5.0362692619
2003.11.01.00.31.44,0.1410588130,0.1410588130,0.6230000000,5.1128278968
2003.11.01.00.41.44,0.1417563239,0.1417563239,0.6030000000,5.9463236508
2003.11.01.00.51.44,0.1411371438,0.1411371438,0.6180000000,5.0374829863
2003.11.01.01.01.44,0.1414726964,0.1414726964,0.5420000000,4.6405197443
2003.11.01.01.11.44,0.1417199681,0.1417199681,0.5960000000,5.0390937834
2003.11.01.01.21.44,0.1412996587,0.1412996587,0.5470000000,4.7583826599
2003.11.01.01.31.44,0.1410528701,0.1410528701,0.5620000000,4.8741186999
2003.11.01.01.41.44,0.1422910723,0.1422910723,0.6200000000,5.1277199260
2003.11.01.01.51.44,0.1413954488,0.1413954488,0.5440000000,4.7860150112
2003.11.01.02.01.44,0.1416158766,0.1416158766,0.6350000000,5.1714348460
2003.11.01.02.11.44,0.1418885831,0.1418885831,0.6690000000,4.7275560852
2003.11.01.02.21.44,0.1416734411,0.1416734411,0.5590000000,4.5199247866
2003.11.01.02.31.44,0.1407404410,0.1407404410,0.5760000000,5.1930192364
2003.11.01.02.41.44,0.1415490262,0.1415490262,0.6570000000,5.0301147970
2003.11.01.02.51.44,0.1416191026,0.1416191026,0.6270000000,5.4426024085
2003.11.01.03.01.44,0.1404528199,0.1404528199,0.5880000000,5.0324845073
2003.11.01.03.11.44,0.1419429311,0.1419429311,0.6130000000,4.8730817007
2003.11.01.03.21.44,0.1417803925,0.1417803925,0.6860000000,5.2929783890
2003.11.01.03.31.44,0.1400782318,0.1400782318,0.6010000000,5.2276493867
2003.11.01.03.41.44,0.1427248868,0.1427248868,0.5470000000,4.8993627209
2003.11.01.03.51.44,0.1405213401,0.1405213401,0.7620000000,5.6927798241
2003.11.01.04.01.44,0.1421012968,0.1421012968,0.5860000000,4.7426096291
2003.11.01.04.11.44,0.1421914678,0.1421914678,0.6910000000,5.3098041585
2003.11.01.04.21.44,0.1411476382,0.1411476382,0.6910000000,4.7792668992
2003.11.01.04.31.44,0.1418799572,0.1418799572,0.6250000000,5.2846426459
2003.11.01.04.41.44,0.1430672495,0.1430672495,0.6640000000,5.0687594562
2003.11.01.04.51.44,0.1420532197,0.1420532197,0.6150000000,4.8205169822
2003.11.01.05.01.44,0.1418924774,0.1418924774,0.7180000000,6.0641797020
2003.11.01.05.11.44,0.1375231515,0.1375231515,0.6930000000,5.5501298205
2003.11.01.05.21.44,0.1410760006,0.1410760006,0.7450000000,4.9991570235
2003.11.01.05.31.44,0.1432568227,0.1432568227,0.6880000000,4.5928849244
2003.11.01.05.41.44,0.1427407610,0.1427407610,0.5860000000,4.8798806716
2003.11.01.05.51.44,0.1426506993,0.1426506993,0.6740000000,5.1250076419
2003.11.01.06.01.44,0.1416689628,0.1416689628,0.5960000000,4.7865024698
2003.11.01.06.11.44,0.1422508962,0.1422508962,0.7420000000,4.9125295762
2003.11.01.06.21.44,0.1420705908,0.1420705908,0.6590000000,5.0336262897
2003.11.01.06.31.44,0.1415219722,0.1415219722,0.6710000000,5.3306337564
2003.11.01.06.41.44,0.1424587214,0.1424587214,0.5420000000,4.9461209476
2003.11.01.06.51.44,0.1401226078,0.1401226078,0.6250000000,4.7627459492
2003.11.01.07.01.44,0.1406312414,0.1406312414,0.6230000000,5.1059332469
2003.11.01.07.11.44,0.1419551672,0.1419551672,0.6590000000,4.7684717474
2003.11.01.07.21.44,0.1417463595,0.1417463595,0.6910000000,4.8080946987
2003.11.01.07.31.44,0.1409082987,0.1409082987,0.5540000000,4.7125916513
2003.11.01.07.41.44,0.1419694477,0.1419694477,0.7230000000,4.9792052759
2003.11.01.07.51.44,0.1387741874,0.1387741874,0.5860000000,4.8253297966
2003.11.01.08.01.44,0.1407989449,0.1407989449,0.8690000000,5.2686382413
2003.11.01.08.11.44,0.1405428673,0.1405428673,0.6030000000,5.1474823902
2003.11.01.08.21.44,0.1415391461,0.1415391461,0.6710000000,5.4207299665
2003.11.01.08.31.44,0.1428125860,0.1428125860,0.7570000000,5.5007922590
2003.11.01.08.41.44,0.1411908399,0.1411908399,0.6200000000,5.0625053138
2003.11.01.08.51.44,0.1416114076,0.1416114076,0.6180000000,5.2100868290
2003.11.01.09.01.44,0.1421112654,0.1421112654,0.6200000000,4.9200688944
2003.11.01.09.11.44,0.1425821155,0.1425821155,0.5960000000,4.7284700461
2003.11.01.09.21.44,0.1407612826,0.1407612826,0.5910000000,4.7058557287
2003.11.01.09.31.44,0.1403676400,0.1403676400,0.5420000000,4.5603389716
2003.11.01.09.41.44,0.1419875005,0.1419875005,0.5370000000,4.6170327134
2003.11.01.09.51.44,0.1416258156,0.1416258156,0.6200000000,4.5492365997
2003.11.01.10.01.44,0.1423797457,0.1423797457,0.5690000000,4.8786180667
2003.11.01.10.11.44,0.1419837515,0.1419837515,0.7100000000,4.8858016082
2003.11.01.10.21.44,0.1410281092,0.1410281092,0.5980000000,5.0429728812
2003.11.01.10.31.44,0.1406762757,0.1406762757,0.5880000000,4.7737275031
2003.11.01.10.41.44,0.1425019634,0.1425019634,0.6350000000,5.2492962036
2003.11.01.10.51.44,0.1386461547,0.1386461547,0.6810000000,4.8340102726
2003.11.01.11.01.44,0.1400257424,0.1400257424,0.6420000000,5.1247548521
2003.11.01.11.11.44,0.1461114602,0.1461114602,0.7030000000,4.7943436039
2003.11.01.11.21.44,0.1384091446,0.1384091446,0.5760000000,4.9310019340
2003.11.01.11.31.44,0.1415271101,0.1415271101,0.5620000000,4.8815286386
2003.11.01.11.41.44,0.1421730480,0.1421730480,0.5980000000,4.8057127587
2003.11.01.11.51.44,0.1414936926,0.1414936926,0.6400000000,4.8378788772
2003.11.01.12.01.44,0.1425317168,0.1425317168,0.6450000000,4.7379049857
2003.11.01.12.11.44,0.1413010558,0.1413010558,0.5830000000,4.6767562035
2003.11.01.12.21.44,0.1411584021,0.1411584021,0.6620000000,5.2028100231
2003.11.01.12.31.44,0.1419937500,0.1419937500,0.6370000000,5.1137752798
2003.11.01.12.41.44,0.1434348788,0.1434348788,0.6350000000,5.3952206654
2003.11.01.12.51.44,0.1421421973,0.1421421973,0.7670000000,5.3036101035
2003.11.01.13.01.44,0.1408561716,0.1408561716,0.5690000000,4.6111685811
2003.11.01.13.11.44,0.1424029448,0.1424029448,0.6910000000,5.0678833849
2003.11.01.13.21.44,0.1417722274,0.1417722274,0.6420000000,5.2806369251
2003.11.01.13.31.44,0.1418561789,0.1418561789,0.6690000000,4.8067202243
2003.11.01.13.41.44,0.1395400587,0.1395400587,0.6640000000,5.0925770107
2003.11.01.13.51.44,0.1434377827,0.1434377827,0.6080000000,5.2492461050
2003.11.01.14.01.44,0.1419030389,0.1419030389,0.5740000000,5.2211686218
2003.11.01.14.11.44,0.1431819409,0.1431819409,0.5830000000,4.9715589535
2003.11.01.14.21.44,0.1401404947,0.1401404947,0.6370000000,4.8909366179
2003.11.01.14.31.44,0.1420806376,0.1420806376,0.5860000000,5.0311090417
2003.11.01.14.41.44,0.1432397382,0.1432397382,0.6540000000,5.1560952744
2003.11.01.14.51.44,0.1416234952,0.1416234952,0.6400000000,5.2014014407
2003.11.01.15.01.44,0.1416626545,0.1416626545,0.7100000000,5.6124181175
2003.11.01.15.11.44,0.1410628032,0.1410628032,0.6080000000,5.1424389097
2003.11.01.15.21.44,0.1412313006,0.1412313006,0.6200000000,5.1764684091
2003.11.01.15.31.44,0.1426026679,0.1426026679,0.7450000000,5.4723678035
2003.11.01.15.41.44,0.1425673167,0.1425673167,0.6320000000,4.9983666080
2003.11.01.15.51.44,0.1415504803,0.1415504803,0.5830000000,5.0801274660
2003.11.01.16.01.44,0.1421532028,0.1421532028,0.6270000000,5.1877122337
2003.11.01.16.11.44,0.1426859334,0.1426859334,0.6250000000,5.0086160511
2003.11.01.16.21.44,0.1407376918,0.1407376918,0.7760000000,5.3413146739
2003.11.01.16.31.44,0.1426433941,0.1426433941,0.6350000000,5.0195149641
2003.11.01.16.41.44,0.1434814438,0.1434814438,0.7470000000,5.2756641260
2003.11.01.16.51.44,0.1415773159,0.1415773159,0.6350000000,5.3896766650
2003.11.01.17.01.44,0.1410748491,0.1410748491,0.6350000000,5.4153408713
2003.11.01.17.11.44,0.1426536290,0.1426536290,0.5830000000,4.6604894619
2003.11.01.17.21.44,0.1405138470,0.1405138470,0.6010000000,4.7036559597
2003.11.01.17.31.44,0.1429997198,0.1429997198,0.7100000000,4.8704899768
2003.11.01.17.41.44,0.1424356173,0.1424356173,0.7010000000,4.9796105414
2003.11.01.17.51.44,0.1406091611,0.1406091611,0.5980000000,4.8578846650
2003.11.01.18.01.44,0.1409226002,0.1409226002,0.5960000000,4.8402582984
2003.11.01.18.11.44,0.1413404293,0.1413404293,0.7890000000,5.5358104866
2003.11.01.18.21.44,0.1429341941,0.1429341941,0.7370000000,5.4934393600
2003.11.01.18.31.44,0.1421147752,0.1421147752,0.6710000000,5.8096675712
2003.11.01.18.41.44,0.1434995505,0.1434995505,0.5830000000,5.3166247445
2003.11.01.18.51.44,0.1414496223,0.1414496223,0.6130000000,5.0860912819
2003.11.01.19.01.44,0.1418851820,0.1418851820,0.6420000000,5.0674669841
2003.11.01.19.11.44,0.1427651120,0.1427651120,0.6080000000,4.9298822049
2003.11.01.19.21.44,0.1425025769,0.1425025769,0.6370000000,5.8487814535
2003.11.01.19.31.44,0.1423444007,0.1423444007,0.6080000000,5.4105677565
2003.11.01.19.41.44,0.1408243630,0.1408243630,0.5880000000,4.9531906702
2003.11.01.19.51.44,0.1406991119,0.1406991119,0.6250000000,5.0935252927
2003.11.01.20.01.44,0.1428897087,0.1428897087,0.7200000000,6.1347090474
2003.11.01.20.11.44,0.1429125877,0.1429125877,0.6420000000,5.9083012456
2003.11.01.20.21.44,0.1338573970,0.1338573970,0.5980000000,4.4721379580
2003.11.01.20.31.44,0.1404951585,0.1404951585,0.6810000000,6.0334631663
2003.11.01.20.41.44,0.1408923155,0.1408923155,0.5880000000,5.3123502027
2003.11.01.20.51.44,0.1407330739,0.1407330739,0.5690000000,5.2625745602
2003.11.01.21.01.44,0.1422906774,0.1422906774,0.5710000000,5.1303573199
2003.11.01.21.11.44,0.1418091689,0.1418091689,0.5830000000,5.3285640630
2003.11.01.21.21.44,0.1425106364,0.1425106364,0.6450000000,5.2866045818
2003.11.01.21.31.44,0.1420982232,0.1420982232,0.6910000000,5.6662053832
2003.11.01.21.41.44,0.1410684662,0.1410684662,0.5790000000,4.8269585447
2003.11.01.21.51.44,0.1537671927,0.1537671927,0.6050000000,5.7524109380
2003.11.01.22.01.44,0.1429577410,0.1429577410,0.6620000000,5.0106718489
2003.11.01.22.11.44,0.1443102305,0.1443102305,0.8540000000,6.4479170159
2003.11.01.22.21.44,0.1390472852,0.1390472852,0.5420000000,4.6598126317
2003.11.01.22.31.44,0.1424053421,0.1424053421,0.6640000000,5.7133267271
2003.11.01.22.41.44,0.1404005853,0.1404005853,0.6690000000,4.8414945599
2003.11.01.22.51.44,0.1423305765,0.1423305765,0.6930000000,6.2037400146
2003.11.01.23.01.44,0.1412791205,0.1412791205,0.6710000000,5.0436205871
2003.11.01.23.11.44,0.1408009082,0.1408009082,0.6860000000,4.7239058442
2003.11.01.23.21.44,0.1418343904,0.1418343904,0.6570000000,5.2280062577
2003.11.01.23.31.44,0.1414648069,0.1414648069,0.6960000000,5.5537038668
2003.11.01.23.41.44,0.1342300719,0.1342300719,0.6690000000,4.9605089773
2003.11.01.23.51.44,0.1324025723,0.1324025723,0.7740000000,5.7270477784
2003.11.03.09.53.55,0.1425413835,0.1425413835,0.6640000000,5.2885888447
2003.11.03.10.01.44,0.1429920988,0.1429920988,0.6030000000,5.3942549924
2003.11.03.10.11.44,0.1417147841,0.1417147841,0.5740000000,4.6186030784
2003.11.03.10.21.44,0.1437727275,0.1437727275,0.5880000000,5.3200426632
2003.11.03.10.31.44,0.1425193725,0.1425193725,0.6050000000,5.5264179824
2003.11.03.10.41.44,0.1409794097,0.1409794097,0.5710000000,5.1083296304
2003.11.03.10.51.44,0.1429584680,0.1429584680,0.5690000000,5.3623045078
2003.11.03.11.01.44,0.1412356932,0.1412356932,0.6320000000,5.5616683564
2003.11.03.11.11.44,0.1421819017,0.1421819017,0.7150000000,6.1664147029
2003.11.03.11.21.44,0.1430377272,0.1430377272,0.6790000000,5.7416166125
2003.11.03.11.31.44,0.1430911759,0.1430911759,0.7130000000,6.3988846128
2003.11.03.11.41.44,0.1419938522,0.1419938522,0.6420000000,5.3934463637
2003.11.03.11.51.44,0.1433427184,0.1433427184,0.7640000000,6.0600023088
2003.11.03.12.01.44,0.1421279563,0.1421279563,0.6100000000,4.7173957898
2003.11.03.12.11.44,0.1422635344,0.1422635344,0.6100000000,5.2814622987
2003.11.03.12.21.44,0.1428937377,0.1428937377,0.6130000000,6.0588318376
2003.11.03.12.31.44,0.1443596914,0.1443596914,0.6690000000,5.3444820942
2003.11.03.12.41.44,0.1434066235,0.1434066235,0.5910000000,5.3372501930
2003.11.03.12.51.44,0.1427305062,0.1427305062,0.6640000000,5.4171094647
2003.11.03.13.01.44,0.1438392451,0.1438392451,0.6370000000,5.8388749849
2003.11.03.13.11.44,0.1424772218,0.1424772218,0.5930000000,5.6349338822
2003.11.03.13.21.44,0.1415225632,0.1415225632,0.5980000000,5.2221519511
2003.11.03.13.31.44,0.1433285236,0.1433285236,0.6250000000,5.8219867576
2003.11.03.13.41.44,0.1422415050,0.1422415050,0.6910000000,5.6684014784
2003.11.03.13.51.44,0.1426564328,0.1426564328,0.6130000000,5.4307083848
2003.11.03.14.01.44,0.1434732754,0.1434732754,0.7200000000,6.1413008422
2003.11.03.14.11.44,0.1422752118,0.1422752118,0.5810000000,5.0549200471
2003.11.03.14.21.44,0.1407786244,0.1407786244,0.5810000000,5.2100139154
2003.11.07.14.51.44,0.1411797482,0.1411797482,0.5220000000,4.3894353918
2003.11.07.15.01.44,0.1409796786,0.1409796786,0.5710000000,4.3443226158
2003.11.07.15.11.44,0.1414719476,0.1414719476,0.6540000000,4.2466689548
2003.11.07.15.21.44,0.1418106292,0.1418106292,0.6270000000,4.6633315090
2003.11.07.15.31.44,0.1407010647,0.1407010647,0.7300000000,4.4216832114
2003.11.07.15.41.44,0.1400014865,0.1400014865,0.5810000000,4.4474328252
2003.11.07.15.51.44,0.1403971498,0.1403971498,0.5080000000,4.1507228337
2003.11.07.16.01.44,0.1394738798,0.1394738798,0.5300000000,4.2031026705
2003.11.07.16.11.44,0.1410130606,0.1410130606,0.6400000000,4.2471508492
2003.11.07.16.21.44,0.1403383551,0.1403383551,0.5270000000,4.4622455942
2003.11.07.16.31.44,0.1406492200,0.1406492200,0.5690000000,4.5344968276
2003.11.07.16.41.44,0.1395420838,0.1395420838,0.5300000000,4.1412167522
2003.11.07.16.51.44,0.1409440736,0.1409440736,0.6230000000,4.4823029151
2003.11.07.17.01.44,0.1402220245,0.1402220245,0.5710000000,4.4289249935
2003.11.07.17.11.44,0.1403802933,0.1403802933,0.5490000000,4.1578771562
2003.11.07.17.21.44,0.1404245312,0.1404245312,0.5640000000,4.5833955150
2003.11.07.17.31.44,0.1404899417,0.1404899417,0.5640000000,4.2052740357
2003.11.07.17.41.44,0.1402491824,0.1402491824,0.5570000000,4.4480432880
2003.11.07.17.51.44,0.1414941283,0.1414941283,0.5810000000,4.3690596560
2003.11.07.18.01.44,0.1403331753,0.1403331753,0.5880000000,4.2198120175
2003.11.07.18.11.44,0.1399248764,0.1399248764,0.5130000000,4.1628004989
2003.11.07.18.21.44,0.1406870731,0.1406870731,0.5400000000,4.5543914453
2003.11.07.18.31.44,0.1404522355,0.1404522355,0.5760000000,4.3337569635
2003.11.07.18.41.44,0.1402213401,0.1402213401,0.5640000000,4.5332919757
2003.11.07.18.51.44,0.1417628930,0.1417628930,0.5830000000,4.5188047907
2003.11.07.19.01.44,0.1407894975,0.1407894975,0.5690000000,4.2813952007
2003.11.07.19.11.44,0.1393440999,0.1393440999,0.5660000000,4.5622243174
2003.11.07.19.21.44,0.1417064255,0.1417064255,0.5400000000,4.5474887469
2003.11.07.19.31.44,0.1395445485,0.1395445485,0.5690000000,4.3005461157
2003.11.07.19.41.44,0.1410528443,0.1410528443,0.5660000000,4.1985093220
2003.11.07.19.51.44,0.1420641415,0.1420641415,0.5470000000,4.3891976916
2003.11.07.20.01.44,0.1408153219,0.1408153219,0.5740000000,4.3728108218
2003.11.07.20.11.44,0.1404914960,0.1404914960,0.5400000000,4.1566611238
2003.11.07.20.21.44,0.1418747334,0.1418747334,0.5570000000,4.5641891965
2003.11.07.20.31.44,0.1405967329,0.1405967329,0.5520000000,4.2598986831
2003.11.07.20.41.44,0.1411348905,0.1411348905,0.6320000000,4.3138433375
2003.11.07.20.51.44,0.1411184035,0.1411184035,0.5740000000,4.5014751500
2003.11.07.21.01.44,0.1401776184,0.1401776184,0.6200000000,4.5010184617
2003.11.07.21.11.44,0.1407326610,0.1407326610,0.5370000000,4.4127508831
2003.11.07.21.21.44,0.1413693084,0.1413693084,0.5470000000,4.6792405461
2003.11.07.21.31.44,0.1411058686,0.1411058686,0.6080000000,4.6554257004
2003.11.07.21.41.44,0.1403752958,0.1403752958,0.5270000000,4.4816987873
2003.11.07.21.51.44,0.1412090206,0.1412090206,0.5860000000,4.0445708219
2003.11.07.22.01.44,0.1404818341,0.1404818341,0.6490000000,4.3203165951
2003.11.07.22.11.44,0.1405046918,0.1405046918,0.5760000000,4.6144888806
2003.11.07.22.21.44,0.1415322558,0.1415322558,0.5350000000,4.1998485432
2003.11.07.22.31.44,0.1405210487,0.1405210487,0.5490000000,4.2478847770
2003.11.07.22.41.44,0.1407017969,0.1407017969,0.5440000000,4.4383408479
2003.11.08.10.22.19,0.1401900468,0.1401900468,0.6230000000,4.2558561495
2003.11.08.10.31.44,0.1411052480,0.1411052480,0.6180000000,4.2758767393
2003.11.08.10.41.44,0.1401518622,0.1401518622,0.5860000000,4.4998986099
2003.11.08.10.51.44,0.1391095024,0.1391095024,0.6880000000,4.2285228606
2003.11.08.11.01.44,0.1401414739,0.1401414739,0.6010000000,4.2329371007
2003.11.08.11.11.44,0.1415619464,0.1415619464,0.5370000000,4.1622917815
2003.11.08.11.21.44,0.1415464057,0.1415464057,0.6200000000,4.6310285355
2003.11.08.11.31.44,0.1403885714,0.1403885714,0.5760000000,4.1523648892
2003.11.08.11.41.44,0.1411721939,0.1411721939,0.5710000000,4.2431755941
2003.11.08.11.51.44,0.1402180309,0.1402180309,0.5270000000,4.0585097912
2003.11.08.12.01.44,0.1402161412,0.1402161412,0.5830000000,4.2015632672
2003.11.08.12.11.44,0.1402808650,0.1402808650,0.6450000000,4.2875353202
2003.11.08.12.21.44,0.1402883167,0.1402883167,0.6400000000,4.3165517594
2003.11.08.12.31.44,0.1402468840,0.1402468840,0.5810000000,4.4926752091
2003.11.08.12.41.44,0.1405110495,0.1405110495,0.5200000000,4.0919072447
2003.11.08.12.51.44,0.1402767391,0.1402767391,0.5880000000,4.5520292442
2003.11.08.13.01.44,0.1390138398,0.1390138398,0.5220000000,4.1782583353
2003.11.08.13.11.44,0.1399567949,0.1399567949,0.6030000000,4.3925313586
2003.11.08.13.21.44,0.1396636478,0.1396636478,0.6450000000,4.1132567572
2003.11.08.13.31.44,0.1406504899,0.1406504899,0.5960000000,4.2873656927
2003.11.08.13.41.44,0.1401814909,0.1401814909,0.6030000000,4.4245753427
2003.11.08.13.51.44,0.1402252875,0.1402252875,0.5130000000,3.9998306051
2003.11.08.14.01.44,0.1400921347,0.1400921347,0.6230000000,4.3576775352
2003.11.08.14.11.44,0.1402335207,0.1402335207,0.5590000000,4.3804254582
2003.11.08.14.21.44,0.1385287242,0.1385287242,0.5250000000,4.0605507907
2003.11.08.14.31.44,0.1393383703,0.1393383703,0.5400000000,4.1274244240
2003.11.08.14.41.44,0.1402485870,0.1402485870,0.5910000000,4.2440420075
2003.11.08.14.51.44,0.1408937226,0.1408937226,0.5570000000,4.4915561832
2003.11.08.15.01.44,0.1392026890,0.1392026890,0.5150000000,4.0128798990
2003.11.08.15.11.44,0.1391423945,0.1391423945,0.6150000000,4.4407233921
2003.11.08.15.21.44,0.1393916864,0.1393916864,0.5660000000,4.0964308175
2003.11.08.15.31.44,0.1396710054,0.1396710054,0.5640000000,4.0600326602
2003.11.08.15.41.44,0.1403012826,0.1403012826,0.5790000000,4.2026459771
2003.11.08.15.51.44,0.1398476585,0.1398476585,0.5180000000,4.1656669456
2003.11.08.16.01.44,0.1395788981,0.1395788981,0.5910000000,4.5720408776
2003.11.08.16.11.44,0.1389101739,0.1389101739,0.5200000000,3.9402600439
2003.11.08.16.21.44,0.1395017417,0.1395017417,0.6300000000,4.3193069620
2003.11.08.16.31.44,0.1397581772,0.1397581772,0.5350000000,4.1636181346
2003.11.08.16.41.44,0.1400911969,0.1400911969,0.6050000000,4.3574825635
2003.11.08.16.51.44,0.1385536397,0.1385536397,0.6400000000,4.0027140127
2003.11.08.17.01.44,0.1387890748,0.1387890748,0.5050000000,3.9448567787
2003.11.08.17.11.44,0.1394277993,0.1394277993,0.6740000000,4.3644866175
2003.11.08.17.21.44,0.1400093025,0.1400093025,0.5130000000,3.8784255587
2003.11.08.17.31.44,0.1394532255,0.1394532255,0.6590000000,4.5761377607
2003.11.08.17.41.44,0.1247600371,0.1247600371,0.5250000000,4.2552265195
2003.11.08.17.51.44,0.1389408088,0.1389408088,0.6010000000,4.2756781178
2003.11.08.18.01.44,0.1404332736,0.1404332736,0.5690000000,4.1012375638
2003.11.08.18.11.44,0.1389744461,0.1389744461,0.5590000000,4.0755825373
2003.11.08.18.21.44,0.1392875950,0.1392875950,0.5590000000,4.2845735812
2003.11.08.18.31.44,0.1234139058,0.1234139058,0.5880000000,4.1052678556
2003.11.08.18.41.44,0.1392628094,0.1392628094,0.5270000000,4.3264825430
2003.11.08.18.51.44,0.1386664531,0.1386664531,0.5270000000,3.7727139036
2003.11.08.19.01.44,0.1397088221,0.1397088221,0.5000000000,3.9822188229
2003.11.08.19.11.44,0.1405850655,0.1405850655,0.5130000000,4.0905592835
2003.11.08.19.21.44,0.1358761667,0.1358761667,0.5860000000,4.1165115865
2003.11.08.19.31.44,0.1408676282,0.1408676282,0.6640000000,4.1149178065
2003.11.08.19.41.44,0.1399139955,0.1399139955,0.6180000000,4.2008543714
2003.11.08.19.51.44,0.1396390207,0.1396390207,0.5930000000,4.0925017748
2003.11.08.20.01.44,0.1390034504,0.1390034504,0.5980000000,4.3056011577
2003.11.08.20.11.44,0.1405249908,0.1405249908,0.5660000000,4.8218130495
2003.11.08.20.21.44,0.1397851447,0.1397851447,0.5180000000,3.9304463039
2003.11.08.20.31.44,0.1407890455,0.1407890455,0.6230000000,4.2765980881
2003.11.08.20.41.44,0.1387795964,0.1387795964,0.5760000000,4.0700099464
2003.11.08.20.51.44,0.1394509396,0.1394509396,0.6760000000,4.3009552993
2003.11.08.21.01.44,0.1401555309,0.1401555309,0.5420000000,4.0220385563
2003.11.08.21.11.44,0.1386255409,0.1386255409,0.6300000000,4.3091223954
2003.11.08.21.21.44,0.1389078733,0.1389078733,0.5080000000,3.9857192910
2003.11.08.21.31.44,0.1395303447,0.1395303447,0.5320000000,4.1474643371
2003.11.08.21.41.44,0.1398770596,0.1398770596,0.5690000000,3.9782125929
2003.11.08.21.51.44,0.1399063179,0.1399063179,0.4960000000,4.3619823197
2003.11.08.22.01.44,0.1392610263,0.1392610263,0.5270000000,4.1316572860
2003.11.08.22.11.44,0.1397756963,0.1397756963,0.6370000000,3.9552258075
2003.11.08.22.21.44,0.1402119489,0.1402119489,0.5810000000,4.4236935516
2003.11.08.22.31.44,0.1389804231,0.1389804231,0.5000000000,4.0171303225
2003.11.08.22.41.44,0.1395340285,0.1395340285,0.6670000000,4.3111048573
2003.11.08.22.51.44,0.1390688383,0.1390688383,0.4930000000,3.8694441662
2003.11.08.23.01.44,0.1411208044,0.1411208044,0.5930000000,4.5646914371
2003.11.08.23.11.44,0.1399618107,0.1399618107,0.5400000000,4.2247360358
2003.11.08.23.21.44,0.1394781938,0.1394781938,0.6030000000,4.3999487924
2003.11.08.23.31.44,0.1397498288,0.1397498288,0.6640000000,3.9274163030
2003.11.08.23.41.44,0.1401883425,0.1401883425,0.5150000000,3.9412495409
2003.11.08.23.51.44,0.1407396612,0.1407396612,0.6300000000,4.2480447827
2003.11.09.00.01.44,0.1404982856,0.1404982856,0.5690000000,4.0164369280
2003.11.09.00.11.44,0.1393706132,0.1393706132,0.6590000000,4.2550250873
2003.11.09.00.21.44,0.1401688324,0.1401688324,0.5300000000,4.0328340930
2003.11.09.00.31.44,0.1389605840,0.1389605840,0.5490000000,4.1320699687
2003.11.09.00.41.44,0.1392807022,0.1392807022,0.5880000000,4.0869133371
2003.11.09.00.51.44,0.1400531758,0.1400531758,0.5830000000,4.4196388964
2003.11.09.01.01.44,0.1394147869,0.1394147869,0.5620000000,4.0612894128
2003.11.09.01.11.44,0.1389592206,0.1389592206,0.6320000000,4.6956055449
2003.11.09.01.21.44,0.1396556684,0.1396556684,0.5150000000,3.9095578042
2003.11.09.01.31.44,0.1402416972,0.1402416972,0.5080000000,4.0116916659
